<<<<<<< HEAD:6/Untitled 1.csv
,,,,,
,String input,char,int,float,double
,a,,,,
,c,'c’,99,99.0f,99
,A,,,,
,@,,,,
,0,,,,
,42,,,,
,-42,,,,
,-123,,,,
,2147483647,,,,
,2147483999,,,,
,–2147483648,,,,
,–2147483999,,,,
,3.14,,,,
,2.71,,,,
,0.0f,,,,
,-4.2f,,,,
,4.2f,,,,
,42.0f,,,,
,-inff,,,,
,+inff,,,,
,nanf,,,,
,-inf,,,,
,+inf,,,,
,nan,,,,
,0.0f,,,,
,-4.2f,,,,
,4.2f,,,,
,,,,,
,"""Hello there""",,,,
,0x2A,,,,
,52,,,,
,,,,,
,ffff,,,,
,200f,,,,
,-nan,,,,
,+infff,,,,
=======
,,,,,
,String input,char,int,float,double
,a,,,,
,c,'c’,99,99.0f,99.0
,A,,,,
,@,,,,
,0,,,,
,42,,,,
,-42,,,,
,-123,,,,
,2147483647,,,,
,2147483999,,,,
,–2147483648,,,,
,–2147483999,,,,
,3.14,,,,
,2.71,,,,
,0.0f,,,,
,-4.2f,,,,
,4.2f,,,,
,42.0f,,,,
,-inff,,,,
,+inff,,,,
,nanf,,,,
,-inff,,,,
,+inff,,,,
,nanf,,,,
,0.0f,,,,
,-4.2f,,,,
,4.2f,,,,
,,,,,
,"""Hello there""",,,,
,0x2A,,,,
,52,,,,
>>>>>>> baa013ccf69e42b7565b440b515c731f4b9c822b:6/ex00/Untitled 1.csv
